arch,init,train_condition,attacker_type,eval_condition,eval_split,k_gallery,k_probe,n_subjects,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff
resnet18,pretrained,raw,adaptive,raw,train,1,1,3843,slice_level,0.1667967733541504,0.258391881342701,0.8699187874918086,0.009327356095057181,0.001818159361952863,0.8606538697276914,0.3424408014571949,0.810563493699355,0.7216960674185415
resnet18,pretrained,raw,adaptive,raw,train,1,1,3843,subject_level,0.1667967733541504,0.258391881342701,0.8699188354484991,0.009327358902353748,0.0018181595236711028,0.8605348713345413,0.3403590944574551,0.8105635387556893,0.721743037764647
resnet18,pretrained,gs50,adaptive,gs50,train,1,1,3843,slice_level,0.0078064012490242,0.023158990372105125,0.9427704798533152,0.00370763761439486,0.0016734148259517005,0.7598697611067877,0.08847254748894093,0.8541319204158471,0.7820325027363951
resnet18,pretrained,gs50,adaptive,gs50,train,1,1,3843,subject_level,0.0078064012490242,0.023158990372105125,0.9427705357355778,0.0037076364821702775,0.0016734149715693044,0.7597368207477881,0.08847254748894093,0.8541319733512237,0.7821940553008099
resnet18,pretrained,gs50,blind,raw,train,1,1,3843,slice_level,0.06739526411657559,0.12151964610981004,0.9845780463166576,0.0013370456684389494,0.00042067427698168016,0.7428166093594614,0.18553213635180849,0.9648665604943755,0.949695806116013
resnet18,pretrained,gs50,blind,raw,train,1,1,3843,subject_level,0.06739526411657559,0.12151964610981004,0.98457810432378,0.0013370443656051838,0.0004206742905225724,0.7428074823905694,0.18371064272703616,0.9648666175088627,0.9497066168099556
resnet18,pretrained,gs40,adaptive,gs40,train,1,1,3843,slice_level,0.009627894873796514,0.03408795212073901,0.9397742489710035,0.004015200342202665,0.001600324579085859,0.7657610814638496,0.10876919073640386,0.8550680412186517,0.7885788323899094
resnet18,pretrained,gs40,adaptive,gs40,train,1,1,3843,subject_level,0.009627894873796514,0.03408795212073901,0.9397743033022735,0.004015200311182813,0.0016003247156307623,0.7658696880127627,0.1082487639864689,0.855068088989223,0.788444491625344
resnet18,pretrained,gs40,blind,raw,train,1,1,3843,slice_level,0.07702315899037211,0.14025500910746813,0.9800157065879173,0.001690827168557224,0.0004694155246637216,0.7510959380915615,0.20608899297423888,0.9563569986755079,0.9368535208946369
resnet18,pretrained,gs40,blind,raw,train,1,1,3843,subject_level,0.07702315899037211,0.14025500910746813,0.9800157665492903,0.0016908308754294856,0.00046941555990184883,0.7514214913632246,0.20634920634920634,0.9563570539063536,0.9368236102570229
resnet18,pretrained,gs30,adaptive,gs30,train,1,1,3843,slice_level,0.008066614623991674,0.02654176424668228,0.9381680318132342,0.004007555344686079,0.0015166205690709345,0.7656997640745609,0.10668748373666406,0.8557649380894585,0.7917031921907743
resnet18,pretrained,gs30,adaptive,gs30,train,1,1,3843,subject_level,0.008066614623991674,0.02654176424668228,0.9381680851673788,0.0040075554377456335,0.0015166207083573383,0.7654721106175655,0.10981004423627375,0.8557649864028773,0.7917967067648898
resnet18,pretrained,gs30,blind,raw,train,1,1,3843,slice_level,0.08873276086390841,0.15274525110590684,0.976950594527691,0.0018489211138542389,0.0005062764735194226,0.7552061510501062,0.20817069997397866,0.9502894809523381,0.9275460065278168
resnet18,pretrained,gs30,blind,raw,train,1,1,3843,subject_level,0.08873276086390841,0.15274525110590684,0.9769506504099535,0.001848917701670567,0.0005062764955195859,0.7552348683349438,0.20791048659901118,0.9502895354231974,0.9275482181042332
resnet18,pretrained,gs20,adaptive,gs20,train,1,1,3843,slice_level,0.012750455373406194,0.0429352068696331,0.9227864568257685,0.005085758731106498,0.0020203298215903127,0.782386783821594,0.12516263335935468,0.827715854439424,0.7521890009766348
resnet18,pretrained,gs20,adaptive,gs20,train,1,1,3843,subject_level,0.012750455373406194,0.0429352068696331,0.922786509606046,0.005085760700867073,0.002020330030020087,0.7827202740751711,0.12620348685922456,0.8277158992941294,0.7521146508591764
resnet18,pretrained,gs20,blind,raw,train,1,1,3843,slice_level,0.1053864168618267,0.17408274785323966,0.9585679530508034,0.003344425877772859,0.0006950232694779152,0.7875485706241647,0.24460057246942493,0.9219916917804377,0.8851335938350471
