arch,init,train_cond,eval_cond,attacker_type,eval_split,best_epoch,best_val_auc,macro_auc,bal_acc,top1_acc,male_macro_auc,female_macro_auc,male_n,female_n,male_bal_acc,female_bal_acc,auc_NoFind,auc_Infilt,auc_Atelec,auc_Effus,auc_Nodule,auc_PneuTx,auc_Mass,auc_Consol,auc_PlThck,auc_CardMeg,auc_Emphy,male_auc_NoFind,male_auc_Infilt,male_auc_Atelec,male_auc_Effus,male_auc_Nodule,male_auc_PneuTx,male_auc_Mass,male_auc_Consol,male_auc_PlThck,male_auc_CardMeg,male_auc_Emphy,female_auc_NoFind,female_auc_Infilt,female_auc_Atelec,female_auc_Effus,female_auc_Nodule,female_auc_PneuTx,female_auc_Mass,female_auc_Consol,female_auc_PlThck,female_auc_CardMeg,female_auc_Emphy
resnet18,pretrained,raw,raw,adaptive,val,53,0.7605319252962304,0.7605319252962304,0.3231202543546101,0.31054977711738485,0.745322020189536,0.773065453213636,758,588,0.30175129802331957,0.33930356547213947,0.6807532956685499,0.7070575627679118,0.7654560041202805,0.8406075316269492,0.7051253632825969,0.8601920829681565,0.8103098950293299,0.6175025329280649,0.6876791652333448,0.9244070430511109,0.7667607015822396,0.6651232781571941,0.7231338481338482,0.7602554179566564,0.8133410926020224,0.7011870155038761,0.8104334226988382,0.8109154929577465,0.6301051051051052,0.6485674767832444,0.8904476670870114,0.7450324050993519,0.6855637777499058,0.6840261060289948,0.75625,0.8718370029576077,0.7153163580246914,0.8598566308243728,0.8243788490125292,0.5982349537037036,0.7509943575987421,0.9531531531531532,0.8041087962962963
resnet18,pretrained,raw,raw,adaptive,test,53,0.7605319252962304,0.745532574705047,0.2816349652023306,0.3041867358280845,0.7368317836107412,0.7510046325793663,1434,1265,0.26030406303843495,0.2876248122353596,0.6895859042917867,0.7003074859543453,0.7670775735119473,0.840502616084285,0.735439511778819,0.7720058586246639,0.7306079382787403,0.6469580170777989,0.667972417030206,0.8614372086760831,0.7889637904468413,0.7052857312758303,0.7082799843584158,0.7646545393024267,0.8313562946942266,0.7143740340030912,0.7745854136947218,0.7012362637362638,0.6475321974242061,0.6175501679441909,0.8711594122230881,0.769135581061693,0.671549056792095,0.6894913294797689,0.7638275345916542,0.8519742489270385,0.7607724785464967,0.7504553497085762,0.7575848119885997,0.6291290022809833,0.7259139304593851,0.8513644515534875,0.8089887640449439
densenet121,pretrained,raw,raw,adaptive,val,44,0.7794398763301067,0.7794398763301067,0.3310091535427955,0.33803863298662706,0.7752223680743456,0.778241360053045,758,588,0.31832126416530965,0.3208921061609997,0.7009852314401823,0.7123520106144111,0.7972841804999804,0.8671226831421006,0.7086411999408896,0.8385553607946246,0.8227944581661006,0.6808257345491389,0.7139089553950236,0.9430945702132143,0.788274254875506,0.7022369487209168,0.7313545688545688,0.7994112118531623,0.8501733711597682,0.7342711794019933,0.7965817694369972,0.8125586854460094,0.6861111111111111,0.6714483303694921,0.9381567885666247,0.8051420838971584,0.69156617871029,0.6872091157117637,0.7799873737373737,0.8870632051703362,0.6647376543209876,0.8344086021505376,0.8415799532809514,0.66796875,0.7826288039959302,0.9457275457275457,0.7777777777777778
densenet121,pretrained,raw,raw,adaptive,test,44,0.7794398763301067,0.7650270797775165,0.3071037684987967,0.3308632826972953,0.7630163166983973,0.760607712344735,1434,1265,0.2967297822362817,0.30615973165217597,0.7015915457091928,0.7162113428152047,0.7922438363973209,0.849576935688522,0.7357551165000081,0.795636445127417,0.7771654636935084,0.674555265654649,0.6804144348114197,0.8880707063583148,0.8040767847971239,0.7056611066512057,0.7310876487347074,0.7951152176504289,0.8448210423582286,0.7181386619562818,0.8133470042796006,0.7838056680161944,0.7149828013758899,0.6146649728705538,0.8887899365468107,0.7827654232424677,0.6954661143826729,0.6982485549132947,0.7810047095761383,0.854480686695279,0.7579526574908165,0.7678627185678601,0.7635837087432197,0.5804680239925657,0.7647606283969921,0.8806892540351898,0.8221677789980568
resnet18,scratch,raw,raw,adaptive,val,15,0.7487684330358122,0.7487684330358122,0.3012047463992307,0.27191679049034173,0.7478026363030573,0.7400913629805075,758,588,0.30005930641727385,0.2763941964053946,0.6903558330855388,0.6987216778934476,0.7793173804524385,0.8127022653721683,0.6417602581153637,0.80594507741747,0.8168802099413399,0.6217325227963526,0.7095086572640752,0.9457548101615899,0.7137740708941493,0.702193540919088,0.7168355855855856,0.7808353604599734,0.7931184985815088,0.6793846899224807,0.751005361930295,0.827406103286385,0.6680930930930931,0.6576565896067971,0.9385245901639344,0.7107755857844882,0.6812993854258121,0.6722436206066442,0.7625946969696968,0.8366743345382845,0.5664351851851852,0.7845280764635603,0.8219367169250371,0.545138888888889,0.8019609656831006,0.9498771498771499,0.7183159722222222
resnet18,scratch,raw,raw,adaptive,test,15,0.7487684330358122,0.7432279088153659,0.2823701341827922,0.26306039273805115,0.7420623892959934,0.7347419666738301,1434,1265,0.2739418031895411,0.27642091708615985,0.6805635540929659,0.6929436402287796,0.7647546434848702,0.8218300471893134,0.6721253401607008,0.7700369765655013,0.7556172349986783,0.6596418406072106,0.6646004749019824,0.9022401887554579,0.7911530559835644,0.6961689412184461,0.7068163789732417,0.7747593944777043,0.8200121694811102,0.6678957827334953,0.7490192582025678,0.7419172932330828,0.694280457563395,0.6379187839118078,0.9123483246131582,0.7615494978479196,0.6668122234421267,0.6740289017341041,0.7470032735813467,0.8253905579399141,0.6754462176292163,0.7502471898417985,0.7645720327296129,0.5740052378136352,0.7003759958305413,0.8908559934079784,0.8134240094618569
densenet121,scratch,raw,raw,adaptive,val,28,0.7564660127786467,0.7564660127786467,0.31909567800737226,0.3164933135215453,0.7487587748229079,0.7528831191104569,758,588,0.30759136140707977,0.31136010545878623,0.7094697194964814,0.7081368646662585,0.756299274989105,0.8201088555457487,0.6703795379537953,0.79674262342974,0.799272537820315,0.631661600810537,0.755374957000344,0.9385642605981589,0.7351159082546304,0.7007176756569047,0.7229488416988417,0.7489219371959308,0.8077156228025509,0.6889880952380951,0.7140303842716711,0.7796948356807512,0.6967717717717717,0.7352697095435685,0.942833123160992,0.6984545260309094,0.7077637024959238,0.6891215963194779,0.7457386363636364,0.8341548910066819,0.6317515432098766,0.7942652329749105,0.8335633892546188,0.529369212962963,0.7902136712607529,0.9325143325143326,0.7932581018518519
densenet121,scratch,raw,raw,adaptive,test,28,0.7564660127786467,0.743165738096022,0.28275697466796523,0.29121896998888475,0.7400969207417641,0.741621342282938,1434,1265,0.2790462269961602,0.27616221248759587,0.6867235705471,0.6847098496735334,0.7650111633651607,0.8388007356400496,0.692977794953545,0.7772241964400052,0.7455722971186889,0.6567243833017078,0.6347534375172567,0.9011983150497855,0.7911273754494094,0.7038028127137038,0.7071135690743533,0.7675306548545985,0.8296031664748869,0.6932711415323471,0.756085057061341,0.7539618276460383,0.6618190544756419,0.6108324003100508,0.9038183234999444,0.7532281205164992,0.6667581594969557,0.6565375722543352,0.7542988572888905,0.8512703862660944,0.6918773911320437,0.7592761240632806,0.728992369219454,0.6366055588409225,0.6748752885116522,0.8940550627696185,0.8432879952690715
resnet18,pretrained,gs50,gs50,adaptive,val,100,0.6388866515224313,0.6388866515224313,0.19792709975902037,0.1924219910846954,0.6472643255186319,0.6255046504776228,758,588,0.1851627088632675,0.2022400320106053,0.6354802259887006,0.6084328434374362,0.6702537538132403,0.7108267137393351,0.6078579872912664,0.6715600350569676,0.5605221518987342,0.5870314083080042,0.6504844627909643,0.7723782808528572,0.5529253035692382,0.6371831230466488,0.6433638996138997,0.6771478328173375,0.6898474818748332,0.6483077242524917,0.7031948168007149,0.5688673708920188,0.6335585585585585,0.5863268128828295,0.746111811685582,0.5859981482800369,0.669778359104836,0.5626170224148077,0.6644886363636364,0.7413006170810968,0.5190972222222222,0.5829151732377539,0.5681142493098322,0.5338541666666666,0.7754139302562205,0.7785967785967787,0.484375
resnet18,pretrained,gs50,gs50,adaptive,test,100,0.6388866515224313,0.6452216220076844,0.16496831799920633,0.16783994071878475,0.6513034517858622,0.6298965712270692,1434,1265,0.1522129388443371,0.16492168036907348,0.61529059176118,0.6030954218757909,0.6956201605624437,0.7251115578176013,0.6190892549474261,0.6406550134460238,0.5373481722424585,0.6739504269449715,0.5904211994036115,0.7138886573613987,0.682967385721623,0.6370863437695121,0.6171688732473046,0.6930977071822141,0.7420732699154764,0.6056027820710974,0.6262705064194009,0.5211104684788895,0.733365330773538,0.6301244509516838,0.7196649226316376,0.6387733142037302,0.6191735702165885,0.585043352601156,0.7060287442347242,0.7261287553648068,0.6322572286493819,0.6065908617818485,0.5333386963317092,0.5611219058883163,0.5435931799568163,0.6956400562260675,0.7199459322463462
