Model,Init,Level,Acc_Overall,MSP_Correct_Mean,MSP_Wrong_Mean,NLL_Conf_Correct_Pct,NLL_Conf_Wrong_Pct,Sample_1_Acc,Sample_2_Acc,Sample_3_Acc,Implied_Conf_Correct_Pct,Implied_Conf_Wrong_Pct
resnet18,Pretrained,Raw,89.72141742706299,0.47319993,0.10865823,38.29982725978665,3.8729813533139463,93.37175792507205,82.9971181556196,92.79538904899135,38.29982725978665,3.8729813533139463
resnet18,Scratch,Raw,75.98462700843811,0.50436276,0.2189989,44.53422906593095,5.754767179360531,81.84438040345822,70.02881844380403,76.0806916426513,44.53422906593095,5.754767179360531
densenet121,Pretrained,Raw,92.98750758171082,0.5239689,0.12468574,44.3649723029742,3.750886777354995,95.38904899135446,88.18443804034582,95.38904899135446,44.3649723029742,3.750886777354995
densenet121,Scratch,Raw,79.53889966011047,0.4452675,0.21121795,39.43943034275822,7.472135132801841,84.14985590778097,75.50432276657061,78.96253602305475,39.43943034275822,7.472135132801841
resnet18,Pretrained,GS 0%,87.70412802696228,0.42434615,0.11755642,33.13482307441356,3.840699018067161,91.93083573487031,79.2507204610951,91.93083573487031,33.13482307441356,3.840699018067161
resnet18,Scratch,GS 0%,73.9673376083374,0.5097537,0.21648724,45.348458553709456,5.58499862311296,78.38616714697406,68.29971181556196,75.21613832853026,45.348458553709456,5.58499862311296
densenet121,Pretrained,GS 0%,89.24111127853394,0.5056168,0.12237445,42.80385146281583,4.0324361054262186,92.507204610951,84.43804034582134,90.77809798270894,42.80385146281583,4.0324361054262186
densenet121,Scratch,GS 0%,79.9231469631195,0.4369559,0.19477384,38.95383729650844,7.889649306212163,83.5734870317003,78.96253602305475,77.23342939481267,38.95383729650844,7.889649306212163
resnet18,Pretrained,GS 10%,81.17194771766663,0.3810146,0.105744906,29.794809067969464,3.4570899697637527,84.72622478386167,72.3342939481268,86.45533141210375,29.794809067969464,3.4570899697637527
resnet18,Scratch,GS 10%,71.37367725372314,0.49168247,0.21674342,43.59468703734027,4.964643965123646,75.79250720461094,65.70605187319885,72.62247838616715,43.59468703734027,4.964643965123646
densenet121,Pretrained,GS 10%,85.11046767234802,0.39262703,0.11509941,31.4888459402065,3.813200969890614,89.62536023054754,77.80979827089337,87.89625360230548,31.4888459402065,3.813200969890614
densenet121,Scratch,GS 10%,66.57060384750366,0.39017698,0.18702121,34.14681736733266,6.062568080586983,72.04610951008645,61.95965417867435,65.70605187319885,34.14681736733266,6.062568080586983
resnet18,Pretrained,GS 20%,77.13736295700073,0.3256125,0.12015729,24.592319678203783,3.2399010395470067,82.70893371757924,65.4178674351585,83.28530259365994,24.592319678203783,3.2399010395470067
resnet18,Scratch,GS 20%,66.76272749900818,0.44984868,0.20436628,39.32758519421605,4.373665243181078,74.92795389048992,59.36599423631124,65.99423631123919,39.32758519421605,4.373665243181078
densenet121,Pretrained,GS 20%,73.8712728023529,0.34884825,0.11032039,27.221121181266955,2.8630405400008807,77.52161383285303,64.84149855907782,79.2507204610951,27.221121181266955,2.8630405400008807
densenet121,Scratch,GS 20%,61.76753044128418,0.3505303,0.180287,30.41453399149213,5.228232077253077,65.99423631123919,59.654178674351584,59.654178674351584,30.41453399149213,5.228232077253077
resnet18,Pretrained,GS 30%,70.60518264770508,0.3075912,0.097637415,22.85507026104919,3.0674686760314187,73.48703170028818,60.23054755043228,78.09798270893373,22.85507026104919,3.0674686760314187
resnet18,Scratch,GS 30%,61.28722429275513,0.43929237,0.20935784,38.307830078681405,4.2174888259598715,67.72334293948127,54.46685878962536,61.67146974063401,38.307830078681405,4.2174888259598715
densenet121,Pretrained,GS 30%,74.83189105987549,0.37118888,0.1290495,29.351594913938676,3.3835369118109484,76.657060518732,66.28242074927954,81.55619596541787,29.351594913938676,3.3835369118109484
densenet121,Scratch,GS 30%,53.31411957740784,0.31456473,0.1591243,26.992611650629488,4.9441743573512875,58.78962536023055,49.85590778097983,51.29682997118156,26.992611650629488,4.9441743573512875
resnet18,Pretrained,GS 40%,62.728142738342285,0.27526715,0.1085677,21.02006769584481,2.734826196584843,68.01152737752162,54.17867435158501,65.99423631123919,21.02006769584481,2.734826196584843
resnet18,Scratch,GS 40%,55.04322648048401,0.37900352,0.17861624,32.42754727139769,3.8978529893230904,63.68876080691642,46.10951008645533,55.3314121037464,32.42754727139769,3.8978529893230904
densenet121,Pretrained,GS 40%,70.22094130516052,0.33604506,0.1240099,26.739674156749544,3.465316553803574,73.19884726224784,59.654178674351584,77.80979827089337,26.739674156749544,3.465316553803574
densenet121,Scratch,GS 40%,48.31892251968384,0.25547397,0.13331692,21.1267706184342,4.2664887662929365,57.06051873198847,43.22766570605187,44.668587896253605,21.1267706184342,4.2664887662929365
resnet18,Pretrained,GS 50%,62.05571293830872,0.24649785,0.10084495,18.45511902601945,2.5108877754034595,69.45244956772333,51.5850144092219,65.12968299711815,18.45511902601945,2.5108877754034595
resnet18,Scratch,GS 50%,50.33621191978455,0.34314337,0.16238138,29.174445908278106,3.453437410856858,58.21325648414985,43.22766570605187,49.56772334293948,29.174445908278106,3.453437410856858
densenet121,Pretrained,GS 50%,67.43515729904175,0.31876862,0.1201843,25.096223734339734,3.2898253754180393,73.19884726224784,58.78962536023055,70.31700288184439,25.096223734339734,3.2898253754180393
densenet121,Scratch,GS 50%,42.26704835891724,0.21252705,0.11467941,18.09447396740151,3.4617276525213967,52.1613832853026,39.19308357348703,35.44668587896253,18.09447396740151,3.4617276525213967
