fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,k_gallery,k_probe,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
0,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,slice_level,0.43891402714932126,0.6334841628959276,0.8962252193986021,0.017088467179380392,0.02743495558704591,0.9356741262463913,0.38461538461538464,0.8785033010249763,0.6909499729171867,221,44200
0,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,subject_level,0.43891402714932126,0.6334841628959276,0.8962252795426554,0.017088470685535966,0.027434957011421613,0.9352478636614915,0.38461538461538464,0.878503359550804,0.6914031957333248,221,48620
0,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,slice_level,0.5142857142857142,0.7428571428571429,0.8791086213929312,0.017281543357031685,0.07195684441498347,0.9120141969831411,0.42857142857142855,0.861070087977818,0.7148368259579498,70,4830
0,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,subject_level,0.5142857142857142,0.7428571428571429,0.8791086724826268,0.017281524624143327,0.07195683366486004,0.9120141969831411,0.42857142857142855,0.8610701390675136,0.7148368754865714,70,4830
1,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,slice_level,0.48868778280542985,0.665158371040724,0.8998713401647714,0.01641957954044256,0.02677469280426184,0.9311346512151675,0.3891402714932127,0.8832198610672584,0.6884752299633231,221,44200
1,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,subject_level,0.48868778280542985,0.665158371040724,0.8998713862842025,0.016419562549073233,0.026774688754483585,0.9309538279128378,0.3891402714932127,0.883219918514269,0.6884285915282861,221,48620
1,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,slice_level,0.5571428571428572,0.7428571428571429,0.8697246423789433,0.027233533348355973,0.08092821000942162,0.8909849157054126,0.45714285714285713,0.8456747702189854,0.7175484886574203,70,4830
1,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,subject_level,0.5571428571428572,0.7428571428571429,0.869724690914154,0.027233546120779856,0.08092819643872125,0.8909849157054126,0.45714285714285713,0.8456748110907418,0.7175485346504867,70,4830
2,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,slice_level,0.4189189189189189,0.6261261261261262,0.8462075838097581,0.020967242954013584,0.0264844526830423,0.9202461245028812,0.4954954954954955,0.8214601136005677,0.7131944661916376,222,44400
2,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,subject_level,0.4189189189189189,0.6261261261261262,0.8462076420719559,0.020967256646972517,0.026484458275172894,0.9200625353248564,0.4954954954954955,0.8214601611231899,0.7132573864828927,222,49062
2,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,slice_level,0.4927536231884058,0.6956521739130435,0.8379394386125647,0.02292844523554263,0.061810460319553596,0.8880610845472404,0.34782608695652173,0.8166055083274841,0.7240205118265908,69,4692
2,densenet121,pretrained,raw,adaptive,test,raw,1337,1,1,subject_level,0.4927536231884058,0.6956521739130435,0.8379394904426907,0.022928459920744965,0.061810468525990196,0.8880610845472404,0.34782608695652173,0.8166055748428124,0.7240205555265009,69,4692
3,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,slice_level,0.4774774774774775,0.6171171171171171,0.8302527835240235,0.025035718271324225,0.02612903876951686,0.9172172510348187,0.46396396396396394,0.8049515577049943,0.6981448442925204,222,44400
3,densenet121,pretrained,raw,adaptive,train,raw,1337,1,1,subject_level,0.4774774774774775,0.6171171171171171,0.8302528267508155,0.025035714243983362,0.026129041232067992,0.917384548545121,0.4594594594594595,0.8049515974414241,0.698123385584178,222,49062
