fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
0,densenet121,pretrained,raw,adaptive,train,raw,1337,slice_level,0.9905831818932761,0.9978523046423261,0.9350213762868166,0.008864950202190048,0.0017822505724764055,0.9228652705924396,0.3744309086161287,0.8739088553330515,0.6946225380538841,176158,1210600
0,densenet121,pretrained,raw,adaptive,train,raw,1337,subject_level,1.0,1.0,0.9945300955038804,0.028035078922547904,0.025460063627335282,0.9999998138672612,1.0,0.9945300955038804,0.7850122175997346,221,48620
0,densenet121,pretrained,raw,adaptive,test,raw,1337,slice_level,0.9988881476539916,0.9997776295307983,0.9375132192419136,0.006702807179180177,0.002491332808020613,0.920237837658692,0.41478810328635424,0.8642187694705711,0.7157800563660255,305597,899400
0,densenet121,pretrained,raw,adaptive,test,raw,1337,subject_level,1.0,1.0,0.9973489276000431,0.03820584501538958,0.07663091671253953,1.0,1.0,0.9973489276000431,0.8288241863867758,70,4830
1,densenet121,pretrained,raw,adaptive,train,raw,1337,slice_level,0.9910817506193229,0.9983484723369116,0.9377546381595999,0.008662787997752157,0.0016855658647626588,0.9214220583326782,0.368043067208669,0.8771341430268159,0.6926112534861049,172939,1211000
1,densenet121,pretrained,raw,adaptive,train,raw,1337,subject_level,1.0,1.0,0.994857216852283,0.0275914639369395,0.02387555633835933,0.9999999069336305,1.0,0.994857216852283,0.7809012226266951,221,48620
1,densenet121,pretrained,raw,adaptive,test,raw,1337,slice_level,0.9981912728917025,0.9993217273343884,0.9323398654153113,0.007572298806742686,0.0027684978769245455,0.8956972979688089,0.3901208192132017,0.844794102817878,0.7157308662679234,298628,884600
1,densenet121,pretrained,raw,adaptive,test,raw,1337,subject_level,1.0,1.0,0.9970901046480452,0.042915710381099155,0.07676080491925989,1.0,1.0,0.9970901046480452,0.843934150876219,70,4830
2,densenet121,pretrained,raw,adaptive,train,raw,1337,slice_level,0.9828241123038811,0.9948802642444261,0.9016655217803873,0.013355214137070245,0.0021550705823197526,0.894445467433199,0.40902230420929064,0.8112927321346014,0.7126732946741344,172927,1211000
2,densenet121,pretrained,raw,adaptive,train,raw,1337,subject_level,1.0,1.0,0.9910074700643351,0.036174322570766415,0.022848667077686603,0.9999999081875076,1.0,0.9910074700643351,0.8677013356255764,222,49062
2,densenet121,pretrained,raw,adaptive,test,raw,1337,slice_level,0.998824082784572,1.0,0.9143098882090227,0.009487152884618807,0.003090534581150509,0.8999289101668724,0.4012634448209813,0.818191496239454,0.7222974201908943,271480,850400
2,densenet121,pretrained,raw,adaptive,test,raw,1337,subject_level,1.0,1.0,0.9961675500524216,0.04359222235886947,0.06533717342476913,1.0,1.0,0.9961675500524216,0.880453001926927,69,4692
3,densenet121,pretrained,raw,adaptive,train,raw,1337,slice_level,0.9933949801849405,0.9985138705416117,0.8897176389945388,0.013901820595780956,0.002277148588768285,0.9147434199044016,0.4553293841459546,0.8022135878650424,0.697452227986409,173369,1211200
3,densenet121,pretrained,raw,adaptive,train,raw,1337,subject_level,1.0,1.0,0.991022668711774,0.04115403047553054,0.02509122296144162,1.0,1.0,0.991022668711774,0.8600754747500183,222,49062
3,densenet121,pretrained,raw,adaptive,test,raw,1337,slice_level,0.9997614503816794,1.0,0.8965364035702389,0.010270536813230915,0.003144339261808031,0.8947036000561499,0.4218438387623134,0.797041921732454,0.7045654512707941,264752,838400
3,densenet121,pretrained,raw,adaptive,test,raw,1337,subject_level,1.0,1.0,0.9955313551253167,0.04834519607433374,0.06696682920058568,1.0,1.0,0.9955313551253167,0.8773092163467855,69,4692
4,densenet121,pretrained,raw,adaptive,train,raw,1337,slice_level,0.9894284770399736,0.9963660389824909,0.9502167919503607,0.007041783844002962,0.0012617745551104997,0.9199151731759596,0.30043337890113725,0.9017199679970349,0.7124151167420835,171905,1210800
4,densenet121,pretrained,raw,adaptive,train,raw,1337,subject_level,1.0,1.0,0.9958686544014527,0.021790662864307024,0.019864230152420902,0.9999947666879304,1.0,0.9958686544014527,0.7845310296274555,222,49062
4,densenet121,pretrained,raw,adaptive,test,raw,1337,slice_level,0.995889225443531,0.9982691475551709,0.948787730875494,0.005673970638648198,0.001797601367901162,0.8741843259231105,0.31850607976943324,0.8815773825746026,0.7475043401556039,335868,924400
