model,init,train_condition,eval_condition,attacker_type,fold_id,subject_auc,subject_acc,subject_bacc,sensitivity,specificity,msp_correct_mean,msp_wrong_mean,nll_correct_mean,nll_wrong_mean,nllpct_correct_mean,nllpct_wrong_mean,n_train_subjects,n_val_subjects,n_train_slices,n_val_slices,lr,weight_decay,patience,num_epochs_max,epochs_trained,best_val_auc,best_val_loss,seed,timestamp,ckpt_path
resnet18,pretrained,raw,raw,adaptive,0,0.8260162601626017,0.7678571428571429,0.7780487804878049,0.8,0.7560975609756098,0.8163696762327521,0.7638265786388607,0.22010262072629957,1.7955552081361539,81.63696762327521,23.61734213611393,221,56,12000,7130,5e-05,0.0001,7,50,2,0.8260162601626017,0.7990805762154716,1337,2026-01-17 04:33:15,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/raw/fold_0.pt
densenet121,pretrained,raw,raw,adaptive,0,0.853658536585366,0.8214285714285714,0.7934959349593496,0.7333333333333333,0.8536585365853658,0.8009581651186807,0.7392164445752579,0.24302130940313826,1.6159908563860121,80.09581651186807,26.078355542474213,221,56,12000,7130,5e-05,0.0001,7,50,10,0.853658536585366,0.6378929716135774,1337,2026-01-17 04:45:24,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/raw/fold_0.pt
resnet18,pretrained,gs0,gs0,adaptive,0,0.8292682926829269,0.7678571428571429,0.756910569105691,0.7333333333333333,0.7804878048780488,0.8209316752947426,0.7338949523048092,0.2133225263846687,1.620084729221825,82.09316752947426,26.610504769519085,221,56,12000,7130,5e-05,0.0001,7,50,7,0.8292682926829269,0.7440035683768136,1337,2026-01-17 04:56:47,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs0/fold_0.pt
resnet18,pretrained,gs0,raw,blind,0,0.8113821138211382,0.35714285714285715,0.5609756097560976,1.0,0.12195121951219512,0.7504867646262372,0.6840094930743809,0.30485073818456976,1.2509810740814145,75.0486764626237,31.599050692561907,221,56,12000,7130,5e-05,0.0001,7,50,,,,1337,2026-01-17 04:56:51,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs0/fold_0.pt
densenet121,pretrained,gs0,gs0,adaptive,0,0.8422764227642277,0.8035714285714286,0.802439024390244,0.8,0.8048780487804879,0.7953990693626093,0.7257242482138492,0.2501477868442004,1.50345172319208,79.53990693626093,27.427575178615083,221,56,12000,7130,5e-05,0.0001,7,50,5,0.8422764227642277,0.7012270172791821,1337,2026-01-17 05:05:29,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs0/fold_0.pt
densenet121,pretrained,gs0,raw,blind,0,0.375609756097561,0.6785714285714286,0.4845528455284553,0.06666666666666667,0.9024390243902439,0.6236929546300601,0.6335416395927077,0.47729555244453997,1.0332666345052808,62.36929546300604,36.64583604072922,221,56,12000,7130,5e-05,0.0001,7,50,,,,1337,2026-01-17 05:05:41,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs0/fold_0.pt
resnet18,pretrained,gs10,gs10,adaptive,0,0.8211382113821138,0.7321428571428571,0.6479674796747967,0.4666666666666667,0.8292682926829268,0.8381316674303033,0.691729036108407,0.1856945892893892,1.2947666277232386,83.81316674303032,30.827096389159298,221,56,12000,7130,5e-05,0.0001,7,50,10,0.8211382113821138,0.6554450264998845,1337,2026-01-17 05:17:42,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs10/fold_0.pt
resnet18,pretrained,gs10,raw,blind,0,0.6504065040650406,0.6428571428571429,0.5869918699186991,0.4666666666666667,0.7073170731707317,0.6305957676519015,0.5804900061849865,0.4704300974810367,0.8793365822317423,63.05957676519017,41.95099938150135,221,56,12000,7130,5e-05,0.0001,7,50,,,,1337,2026-01-17 05:17:46,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs10/fold_0.pt
densenet121,pretrained,gs10,gs10,adaptive,0,0.8227642276422765,0.8035714285714286,0.78130081300813,0.7333333333333333,0.8292682926829268,0.8192581597321029,0.7079415861287603,0.21527157274562433,1.4203799704269857,81.92581597321028,29.205841387123964,221,56,12000,7130,5e-05,0.0001,7,50,4,0.8227642276422765,0.6276968217321804,1337,2026-01-17 05:25:42,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs10/fold_0.pt
densenet121,pretrained,gs10,raw,blind,0,0.39674796747967483,0.26785714285714285,0.5,1.0,0.0,0.8934235526989865,0.9121005945972592,0.11415671408055676,2.5517979671678237,89.34235526989865,8.789940540274078,221,56,12000,7130,5e-05,0.0001,7,50,,,,1337,2026-01-17 05:25:54,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs10/fold_0.pt
